video_uuid,scenario_uuid
v_01,s_01
v_02,s_01
v_03,s_01
v_04,s_01
v_05,s_01
v_06,s_01
v_07,s_01
v_08,s_01
v_09,s_01
v_10,s_02
v_11,s_02
v_12,s_02
v_13,s_02
v_14,s_02
v_15,s_02
v_16,s_02
v_17,s_02
v_18,s_02
v_19,s_02
v_20,s_02
v_21,s_02
v_22,s_03
v_23,s_03
v_24,s_03
v_25,s_03
v_26,s_03
v_27,s_03
v_28,s_03
v_29,s_03
v_30,s_03
v_31,s_03
v_32,s_03
v_33,s_03
v_34,s_03
v_35,s_03
v_36,s_04
v_37,s_04
v_38,s_04
v_39,s_04
v_40,s_04
v_41,s_04
v_42,s_04
v_43,s_04
v_44,s_04
v_45,s_04
v_46,s_04
v_47,s_04
v_48,s_04
v_49,s_04
v_50,s_04
v_51,s_04
v_52,s_04
v_53,s_04
v_54,s_04
v_55,s_04
v_56,s_04
v_57,s_04
v_58,s_04
v_59,s_04
v_60,s_04
v_61,s_04
v_62,s_04
v_63,s_04
v_64,s_04
v_65,s_04
v_66,s_04
v_67,s_04
v_68,s_04
v_69,s_04
