start_id,end_id
l_01,l_02
l_01,l_04
l_02,l_01
l_02,l_03
l_03,l_02
l_03,l_04
l_04,l_03
l_04,l_05
l_04,l_01
l_05,l_04
l_05,l_06
l_06,l_05
l_06,l_07
l_07,l_06
l_07,l_08
l_08,l_07
l_08,l_09
l_09,l_08
l_19,l_13
l_13,l_10_01
l_13,l_11
l_13,l_14
l_14,l_18
l_18,l_14
l_14,l_13
l_10_01,l_12
l_12,l_15
l_15,l_12
l_12,l_11
l_11,l_12
l_12,l_19
l_10_01,l_16
l_16,l_17
l_17,l_10_01
l_20_01,l_20_02
l_20_02,l_20_01
l_21,l_20_01
l_20_02,l_21
l_21,l_22_01
l_22_01,l_21
l_22_01,l_22_07
l_22_07,l_22_01
l_22_01,l_22_05
l_22_05,l_22_06
l_22_06,l_22_03
l_22_03,l_22_04
l_22_04,l_22_02
l_22_02,l_22_01
l_22_03,l_22_08_a
l_22_08_a,l_22_08_b
l_22_08_b,l_22_10
l_22_10,l_22_09
l_22_09,l_22_01
