v_id,l_id,description,preferred
v_01,l_01,,1
v_02,l_02,,1
v_03,l_03,,1
v_04,l_04,,1
v_05,l_05,,1
v_06,l_06,,1
v_07,l_07,,1
v_08,l_08,,1
v_09,l_09,,1
v_10,l_10_01,,1
v_11,l_11,,1
v_12,l_12,,1
v_13,l_12,,0
v_14,l_13,,1
v_15,l_13,,0
v_16,l_14,,1
v_17,l_15,,1
v_18,l_16,,1
v_19,l_17,,1
v_20,l_18,,1
v_21,l_19,,1
v_22,l_20_01,,1
v_23,l_20_02,,1
v_24,l_21,,1
v_25,l_22_01,,1
v_26,l_22_02,,1
v_27,l_22_03,,1
v_28,l_22_04,,1
v_29,l_22_05,,1
v_30,l_22_06,,1
v_31,l_22_07,,1
v_32,l_22_08_a,,1
v_33,l_22_08_b,,1
v_34,l_22_09,,1
v_35,l_22_10,,1
v_36,l_23_01_a,,1
v_37,l_23_01_b,,1
v_38,l_23_01_c,,1
v_39,l_23_02_a,,1
v_40,l_23_02_b,,1
v_41,l_23_03_a,,1
v_42,l_23_03_b,,1
v_43,l_23_03_c,,1
v_44,l_23_04_a,,1
v_45,l_23_04_b,,1
v_46,l_23_04_c,,1
v_47,l_23_05_a,,1
v_48,l_23_05_b,,1
v_49,l_23_05_c,,1
v_50,l_23_06_a,,1
v_51,l_23_06_b,,1
v_52,l_23_06_c,,1
v_53,l_23_07_a,,1
v_54,l_23_07_b,,1
v_55,l_23_08_a,,1
v_56,l_23_08_b,,1
v_57,l_23_08_c,,1
v_58,l_23_09_a,,1
v_59,l_23_09_b,,1
v_60,l_23_09_c,,1
v_61,l_23_10_a,,1
v_62,l_23_10_b,,1
v_63,l_23_10_c,,1
v_64,l_23_11_a,,1
v_65,l_23_11_b,,1
v_66,l_23_11_c,,1
v_67,l_23_12_a,,1
v_68,l_23_12_b,,1
v_69,l_23_12_c,,1
